country_code,country_name,region,income_group
BRA,Brazil,South America,Upper Middle Income
ARG,Argentina,South America,Upper Middle Income
CHL,Chile,South America,High Income
COL,Colombia,South America,Upper Middle Income
MEX,Mexico,North America,Upper Middle Income
PER,Peru,South America,Upper Middle Income
URY,Uruguay,South America,High Income
ECU,Ecuador,South America,Upper Middle Income
BOL,Bolivia,South America,Lower Middle Income
PRY,Paraguay,South America,Upper Middle Income
